ep,traj,reward,prob_failure,obs,dist_uni,entropy,oracle_calls,cache_calls,traj_len,avg_traj_len,samples
0,25,-0.2980000000000001,-1.0,"{'obs': [0.14930091613812543, 0.05137170151123639, 0.004651162790697674, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13359721243442174, 0.11423020906741836, 0.016709732988802756, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06328541226215645, 0.07719317203038133, 0.016709732988802756, 0.012058570198105082, 0.0, 0.0, 0.0, 0.0, 0.058999295278365047, 0.05305990133897111, 0.04731782945736434, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06272727272727273, 0.008, 0.03733333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04939393939393939, 0.017878787878787876, 0.008, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01818181818181818, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0.32049258975951384,0,0,1,{'lens': 0},0.0,1064
1,25,-0.2980000000000001,-1.0,"{'obs': [0.14930091613812543, 0.05137170151123639, 0.004651162790697674, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13359721243442174, 0.11423020906741836, 0.016709732988802756, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06328541226215645, 0.07719317203038133, 0.016709732988802756, 0.012058570198105082, 0.0, 0.0, 0.0, 0.0, 0.058999295278365047, 0.05305990133897111, 0.04731782945736434, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06272727272727273, 0.008, 0.03733333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04939393939393939, 0.017878787878787876, 0.008, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01818181818181818, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0.32049258975951384,0,0,2,{'lens': 0},0.0,1064
2,25,-0.2980000000000001,-1.0,"{'obs': [0.14930091613812543, 0.0513717015112364, 0.004651162790697674, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13359721243442174, 0.11423020906741836, 0.016709732988802756, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06328541226215645, 0.07719317203038133, 0.016709732988802756, 0.012058570198105084, 0.0, 0.0, 0.0, 0.0, 0.05899929527836504, 0.053059901338971115, 0.04731782945736434, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06272727272727273, 0.008, 0.03733333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0493939393939394, 0.017878787878787876, 0.008, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01818181818181818, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0.32049258975951384,0,0,3,{'lens': 0},0.0,1064
3,25,-0.2980000000000001,-1.0,"{'obs': [0.14930091613812543, 0.05137170151123639, 0.004651162790697674, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13359721243442174, 0.11423020906741836, 0.016709732988802756, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06328541226215645, 0.07719317203038133, 0.016709732988802756, 0.012058570198105082, 0.0, 0.0, 0.0, 0.0, 0.058999295278365047, 0.05305990133897111, 0.04731782945736434, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06272727272727273, 0.008, 0.03733333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04939393939393939, 0.017878787878787876, 0.008, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01818181818181818, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0.32049258975951384,0,0,4,{'lens': 0},0.0,1064
81,1565,-0.2724000000000001,-0.8400000000000001,"{'obs': [0.128041526561294, 0.05768663009732248, 0.01592515317268766, 0.005815610103690599, 0.003866263698461841, 0.0015437908496732026, 0.0, 0.0, 0.11065078582055328, 0.0981366689792625, 0.021486929357153135, 0.008683051138075368, 0.006817971772996001, 0.008098548641424532, 0.001176470588235294, 0.002199488491048593, 0.05189817107956642, 0.06455215667192411, 0.015748738771994585, 0.012563522825150733, 0.0004347826086956522, 0.00735686066188489, 0.0, 0.003611770795274631, 0.047199436222692036, 0.04357887345212927, 0.03898521594684386, 0.0011309523809523807, 0.0015657349896480328, 0.008691503214558135, 0.008256720605862482, 0.01367255500216868, 0.0508961038961039, 0.00782857142857143, 0.029866666666666663, 0.0, 0.0, 0.0, 0.002263888888888889, 0.011911501740284214, 0.03951515151515152, 0.015017316017316016, 0.0064, 0.0, 0.0, 0.0, 0.00041666666666666664, 0.01325514190420638, 0.014545454545454545, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0004347826086956522, 0.009631603892510474, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.008641265728259266]}",0.27009780851232246,0,77,5,{'lens': 0},0.0,29827
82,1565,-0.25533333333333336,-0.7333333333333334,"{'obs': [0.1138686001767397, 0.06189658248804653, 0.023441146760680986, 0.009692683506150998, 0.006443772830769735, 0.002572984749455338, 0.0, 0.0, 0.0953531680779743, 0.08740764225382526, 0.02467172693605339, 0.014471751896792279, 0.011363286288326668, 0.013497581069040887, 0.00196078431372549, 0.0036658141517476556, 0.04430667695783974, 0.0561248130996193, 0.01510807596078914, 0.012900157909847833, 0.0007246376811594203, 0.012261434436474816, 0.0, 0.006019617992124385, 0.03933286351891003, 0.03725818819423471, 0.03343014027316353, 0.0018849206349206345, 0.0026095583160800546, 0.014485838690930224, 0.013761201009770803, 0.022787591670281132, 0.043008658008658, 0.007714285714285715, 0.024888888888888887, 0.0, 0.0, 0.0, 0.0037731481481481483, 0.01985250290047369, 0.032929292929292926, 0.013109668109668108, 0.005333333333333333, 0.0, 0.0, 0.0, 0.0006944444444444445, 0.0220919031736773, 0.012121212121212121, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0007246376811594203, 0.016052673154184124, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.014402109547098777]}",0.23867890560804944,0,77,6,{'lens': 0},0.0,29827
83,1565,-0.24314285714285716,-0.6571428571428573,"{'obs': [0.1037450813306295, 0.06490369133856372, 0.028809713609247646, 0.01246202165076557, 0.008284850782418229, 0.00330812324929972, 0.0, 0.0, 0.08442629826184646, 0.07974405173565581, 0.02694658234955357, 0.018606538153018642, 0.01460993951356286, 0.01735403280305257, 0.0025210084033613447, 0.004713189623675557, 0.0388841811566064, 0.05010528197654444, 0.014650459667070962, 0.013140611541774334, 0.0009316770186335405, 0.015764701418324763, 0.0, 0.007739508847017067, 0.0337138830162086, 0.03274341301002431, 0.029462229077677586, 0.002423469387755101, 0.0033551464063886417, 0.018624649745481718, 0.017692972726848173, 0.029298332147504314, 0.0373747680890538, 0.007632653061224491, 0.021333333333333333, 0.0, 0.0, 0.0, 0.004851190476190476, 0.025524646586323314, 0.028225108225108226, 0.011747062461348174, 0.004571428571428572, 0.0, 0.0, 0.0, 0.0008928571428571429, 0.02840387550901367, 0.01038961038961039, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0009316770186335405, 0.020639151198236727, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.018516997989127]}",0.2178039278004036,0,77,7,{'lens': 0},0.0,29827
84,1565,-0.234,-0.6000000000000001,"{'obs': [0.09615244219604684, 0.0671590229764516, 0.03283613874567264, 0.014539025259226498, 0.009665659246154602, 0.003859477124183007, 0.0, 0.0, 0.07623114589975058, 0.07399635884702872, 0.028652723909678705, 0.02170762784518842, 0.017044929432490002, 0.020246371603561332, 0.0029411764705882353, 0.005498721227621483, 0.03481730930568139, 0.045590633634238285, 0.01430724744678233, 0.01332095176571921, 0.0010869565217391304, 0.018392151654712224, 0.0, 0.009029426988186578, 0.029499647639182523, 0.02935733162186651, 0.026486295681063126, 0.002827380952380952, 0.003914337474120082, 0.021728758036395335, 0.020641801514656204, 0.0341813875054217, 0.033149350649350644, 0.007571428571428573, 0.018666666666666665, 0.0, 0.0, 0.0, 0.005659722222222222, 0.029778754350710535, 0.024696969696969696, 0.010725108225108224, 0.004, 0.0, 0.0, 0.0, 0.0010416666666666667, 0.03313785476051595, 0.00909090909090909, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0010869565217391304, 0.024079009731276184, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.021603164320648165]}",0.20328492503949266,0,77,8,{'lens': 0},0.0,29827
85,1565,-0.22688888888888892,-0.5555555555555557,"{'obs': [0.09024705620248255, 0.06891316980591995, 0.03596780274066986, 0.016154472510251663, 0.010739621384616226, 0.0042883079157588965, 0.0, 0.0, 0.06985713850700934, 0.0695259310447632, 0.029979722900887143, 0.024119586494653802, 0.01893881048054445, 0.022495968448401477, 0.0032679738562091504, 0.0061096902529127585, 0.031654186754961934, 0.04207924047911128, 0.014040304608780061, 0.013461216384343002, 0.0012077294685990338, 0.02043572406079136, 0.0, 0.010032696653540642, 0.026221909012606688, 0.026723712764410445, 0.024171680817029657, 0.0031415343915343914, 0.0043492638601334245, 0.024143064484883705, 0.022935335016284673, 0.037979319450468556, 0.029862914862914855, 0.0075238095238095255, 0.01659259259259259, 0.0, 0.0, 0.0, 0.00628858024691358, 0.033087504834122816, 0.021952861952861953, 0.00993025493025493, 0.0035555555555555557, 0.0, 0.0, 0.0, 0.0011574074074074073, 0.0368198386227955, 0.00808080808080808, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0012077294685990338, 0.02675445525697354, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.024003515911831294]}",0.1928256870067774,0,77,9,{'lens': 0},0.0,29827
86,1565,-0.2212,-0.5200000000000001,"{'obs': [0.08552274740763112, 0.07031648726949465, 0.03847313393666763, 0.017446830311071797, 0.011598791095385523, 0.004631372549019608, 0.0, 0.0, 0.06475793259281634, 0.06594958880295079, 0.03104132209385389, 0.026049153414226107, 0.020453915318988002, 0.024295645924273596, 0.0035294117647058825, 0.00659846547314578, 0.029123688714386375, 0.03927012595500968, 0.013826750338378246, 0.013573428079242033, 0.0013043478260869564, 0.022070581985654668, 0.0, 0.010835312385823895, 0.023599718111346018, 0.02461681767844559, 0.022319988925802885, 0.0033928571428571428, 0.004697204968944098, 0.026074509643674405, 0.024770161817587448, 0.04101766500650604, 0.027233766233766228, 0.007485714285714287, 0.014933333333333331, 0.0, 0.0, 0.0, 0.006791666666666666, 0.03573450522085264, 0.01975757575757576, 0.009294372294372294, 0.0032, 0.0, 0.0, 0.0, 0.0012499999999999998, 0.03976542571261914, 0.007272727272727273, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0013043478260869564, 0.028894811677531423, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.025923797184777796]}",0.18507563608007477,0,77,10,{'lens': 0},0.0,29827
