ep,traj,reward,prob_failure,obs,dist_uni,entropy,oracle_calls,cache_calls,traj_len,avg_traj_len,samples
0,25,-0.3240000000000001,-1.0,"{'obs': [0.1612829130696794, 0.09780460768995958, 0.08757933038935857, 0.09333593902677349, 0.080281414891538, 0.026050420168067225, 0.0, 0.0, 0.05008847265979026, 0.045763599848648015, 0.07166064637733816, 0.047679200329315295, 0.023588039867109632, 0.014285714285714285, 0.0, 0.0, 0.009302325581395349, 0.024091160462205663, 0.03989419412597744, 0.03171578174172636, 0.0, 0.0, 0.00425531914893617, 0.0, 0.013953488372093023, 0.026323602177140026, 0.01276595744680851, 0.00425531914893617, 0.00425531914893617, 0.00425531914893617, 0.00425531914893617, 0.0, 0.0, 0.01702127659574468, 0.00425531914893617, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0.2592636801210236,0,0,1,{'lens': 0},0.0,785
1,25,-0.27600000000000013,-1.0,"{'obs': [0.15968907558245876, 0.09162577920003409, 0.07188490328991738, 0.05825527110068833, 0.044743882048943605, 0.013025210084033612, 0.0, 0.0, 0.08593813775011233, 0.049573529247632274, 0.08567159302993892, 0.04272848905354654, 0.014016242155777039, 0.011587301587301587, 0.0044444444444444444, 0.0022222222222222222, 0.051200870393036856, 0.027333800782481276, 0.056162635910106506, 0.05445438209893335, 0.0, 0.0022222222222222222, 0.002127659574468085, 0.0, 0.012239902080783353, 0.015542753469522394, 0.006382978723404255, 0.002127659574468085, 0.004349881796690307, 0.004349881796690307, 0.002127659574468085, 0.0, 0.0, 0.00851063829787234, 0.002127659574468085, 0.0, 0.0022222222222222222, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0022222222222222222, 0.0022222222222222222, 0.0, 0.0, 0.0, 0.0, 0.0022222222222222222, 0.0022222222222222222, 0.0022222222222222222, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0.26455449466515196,0,0,2,{'lens': 0},0.0,785
2,25,-0.2600000000000001,-1.0,"{'obs': [0.15915779642005187, 0.08956616970339226, 0.06665342759010366, 0.046561715125326614, 0.03289803776807881, 0.008683473389355741, 0.0, 0.0, 0.09788802611355303, 0.05084350571396037, 0.09034190858080583, 0.04107825196162362, 0.010825642918666174, 0.010687830687830689, 0.005925925925925926, 0.002962962962962963, 0.06516705199691736, 0.028414680889239815, 0.06158544983814953, 0.062033915551335674, 0.0, 0.002962962962962963, 0.0014184397163120568, 0.0, 0.011668706650346796, 0.01194913723364985, 0.00425531914893617, 0.0014184397163120568, 0.00438140267927502, 0.00438140267927502, 0.0014184397163120568, 0.0, 0.0, 0.005673758865248227, 0.0014184397163120568, 0.0, 0.002962962962962963, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002962962962962963, 0.002962962962962963, 0.0, 0.0, 0.0, 0.0, 0.002962962962962963, 0.002962962962962963, 0.002962962962962963, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0.27242215619856064,0,0,3,{'lens': 0},0.0,785
3,25,-0.2520000000000001,-1.0,"{'obs': [0.15889215683884844, 0.08853636495507135, 0.06403768974019679, 0.040714937137645756, 0.026975115627646404, 0.006512605042016806, 0.0, 0.0, 0.10386297029527339, 0.05147849394712441, 0.09267706635623929, 0.040253133415662154, 0.009230343300110742, 0.010238095238095239, 0.006666666666666666, 0.003333333333333333, 0.0721501427988576, 0.02895512094261908, 0.06429685680217104, 0.06582368227753685, 0.0, 0.003333333333333333, 0.0010638297872340426, 0.0, 0.011383108935128517, 0.010152329115713577, 0.0031914893617021275, 0.0010638297872340426, 0.004397163120567376, 0.004397163120567376, 0.0010638297872340426, 0.0, 0.0, 0.00425531914893617, 0.0010638297872340426, 0.0, 0.003333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003333333333333333, 0.003333333333333333, 0.0, 0.0, 0.0, 0.0, 0.003333333333333333, 0.003333333333333333, 0.003333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0.2773898576611152,0,0,4,{'lens': 0},0.0,785
63,1205,-0.2505000000000001,-0.82,"{'obs': [0.1320425295581627, 0.08261712878463845, 0.05730065709454939, 0.040494968240021786, 0.03058370690673583, 0.009248484149757463, 0.004325031675641432, 0.009197451430683137, 0.08495146836046873, 0.04558792970753221, 0.07822360612936707, 0.036497849869784625, 0.014687434035159753, 0.010719999363381716, 0.008180622581626886, 0.00844326760637736, 0.05922805074702259, 0.02573225958541599, 0.05396213753542917, 0.05265894582202948, 0.0031149909458732983, 0.007107415188297541, 0.0014392991239048812, 0.0022839156665376177, 0.00958267762429329, 0.008598053768761337, 0.005420344219672327, 0.004421246863128161, 0.006936398378279677, 0.011209397982161633, 0.004024894694519896, 0.011125924829936382, 0.0, 0.003707285622179239, 0.0019116698903932946, 0.002672727272727273, 0.0057610389610389615, 0.00577766530854766, 0.0013458110516934047, 0.009262223372511827, 0.0, 0.0, 0.0, 0.003121212121212121, 0.003121212121212121, 0.0027173520923520923, 0.0034749278499278486, 0.01264897092075507, 0.0, 0.0026666666666666666, 0.0026666666666666666, 0.0026666666666666666, 0.0, 0.0, 0.0003125, 0.008679580519400612, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.007537734426896625]}",0.2295675756000834,0,59,5,{'lens': 0},0.0,24883
64,1205,-0.24950000000000014,-0.6999999999999998,"{'obs': [0.11414277803770552, 0.07867097133768318, 0.052809301997451125, 0.04034832230827248, 0.03298943442612878, 0.011072403554917903, 0.0072083861260690526, 0.01532908571780523, 0.07234380040393229, 0.04166088688113742, 0.06858796597811893, 0.03399432750586628, 0.018325494525192425, 0.011041268780239368, 0.009189926524933698, 0.011849890455073378, 0.05061332271246591, 0.023583685347280597, 0.047072324690934586, 0.04388245485169123, 0.005191651576455497, 0.00962346975827368, 0.0016896120150187734, 0.0038065261108960295, 0.00838239008373647, 0.007561870204126512, 0.0069062474583191265, 0.006659524913724241, 0.008629221883421212, 0.015750887889891138, 0.005998937966043797, 0.01854320804989397, 0.0, 0.0033419299376746185, 0.0024768966258327963, 0.004454545454545455, 0.007379509379509379, 0.009629442180912768, 0.0022430184194890076, 0.015437038954186378, 0.0, 0.0, 0.0, 0.00297979797979798, 0.00297979797979798, 0.004528920153920154, 0.005791546416546414, 0.02108161820125845, 0.0, 0.0022222222222222222, 0.0022222222222222222, 0.0022222222222222222, 0.0, 0.0, 0.0005208333333333333, 0.014465967532334353, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.012562890711494376]}",0.1989584944273738,0,59,6,{'lens': 0},0.0,24883
65,1205,-0.24878571428571442,-0.6142857142857141,"{'obs': [0.10135724123737898, 0.07585228744700086, 0.04960119121380951, 0.040243575214165835, 0.034707811225695176, 0.012375203130032502, 0.009267925019231639, 0.01970882449432101, 0.06333832329212055, 0.038855856290855424, 0.06170536587008454, 0.032206097245924596, 0.02092410916093005, 0.011270746935137691, 0.009910857913009993, 0.014283192489856251, 0.044459945544925425, 0.022048989462898173, 0.04215102980200989, 0.037613532730021056, 0.006674980598299925, 0.011420651593970921, 0.0018684069372429822, 0.004894104999723467, 0.0075250418404816015, 0.006821739086530207, 0.007967606914495412, 0.008258294949864298, 0.00983838152995088, 0.01899480925255507, 0.007408968874275156, 0.023841267492720815, 0.0, 0.0030809615915998894, 0.002880630008289583, 0.0057272727272727275, 0.00853555967841682, 0.012380711375459272, 0.0028838808250572956, 0.019847621512525344, 0.0, 0.0, 0.0, 0.002878787878787879, 0.002878787878787879, 0.005822897340754483, 0.007446273964131105, 0.027104937687332294, 0.0, 0.0019047619047619045, 0.0019047619047619045, 0.0019047619047619045, 0.0, 0.0, 0.0006696428571428573, 0.018599101113001313, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016152288057635626]}",0.17806504533477807,0,59,7,{'lens': 0},0.0,24883
66,1205,-0.24825000000000014,-0.5499999999999998,"{'obs': [0.09176808863713407, 0.07373827452898911, 0.04719510812607829, 0.04016501489358585, 0.035996593825369974, 0.013352302811368452, 0.01081257918910358, 0.022993628576707843, 0.05658421545826174, 0.03675208334814393, 0.05654341578905875, 0.030864924550968335, 0.02287307013773327, 0.011442855551311434, 0.010451556454067213, 0.016108169015943405, 0.03984491266927006, 0.020897967549611353, 0.03846005863531636, 0.032911841138768425, 0.0077874773646832455, 0.012768537970743853, 0.002002503128911139, 0.005709789166344044, 0.0068820306580404484, 0.0062666407483329785, 0.008763626506627625, 0.009457372476969341, 0.01074525126484813, 0.021427750274553018, 0.008466492055448676, 0.027814812074840954, 0.0, 0.0028852353320438424, 0.003183430045132173, 0.006681818181818182, 0.009402597402597402, 0.01444416327136915, 0.0033645276292335116, 0.023155558431279567, 0.0, 0.0, 0.0, 0.0028030303030303033, 0.0028030303030303033, 0.006793380230880231, 0.008687319624819622, 0.031622427301887676, 0.0, 0.0016666666666666666, 0.0016666666666666666, 0.0016666666666666666, 0.0, 0.0, 0.00078125, 0.02169895129850153, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.018844336067241563]}",0.16314105563009745,0,59,8,{'lens': 0},0.0,24883
67,1205,-0.24783333333333346,-0.4999999999999998,"{'obs': [0.08430985883694359, 0.07209404225942442, 0.045323710168954014, 0.04010391242202364, 0.0369989802917837, 0.014112269230185302, 0.012013976876781756, 0.025548476196342047, 0.05133102047637156, 0.035115815503812764, 0.05252856572603869, 0.029821790232669024, 0.024388928675246883, 0.011576717808335456, 0.010872099763778386, 0.01752759520290008, 0.03625544265487144, 0.020002728283721606, 0.03558930328344362, 0.029254969901127487, 0.008652752627425828, 0.013816894041567244, 0.002106800166875261, 0.006344210184826716, 0.006381910849475108, 0.005834897596401801, 0.00938275285606379, 0.010389988331384374, 0.011450594391990436, 0.02332003773610698, 0.009289010085250302, 0.030905346749823284, 0.0, 0.002733003796833584, 0.0034189411848986316, 0.007424242424242424, 0.010076960076960077, 0.01604907030152128, 0.0037383640324816798, 0.025728398256977297, 0.0, 0.0, 0.0, 0.0027441077441077446, 0.0027441077441077446, 0.007548200256533589, 0.009652577360910693, 0.03513603033543075, 0.0, 0.0014814814814814814, 0.0014814814814814814, 0.0014814814814814814, 0.0, 0.0, 0.0008680555555555555, 0.02410994588722392, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02093815118582396]}",0.15211145888830868,0,59,9,{'lens': 0},0.0,24883
68,1205,-0.2475000000000001,-0.4599999999999998,"{'obs': [0.0783432749967912, 0.07077865644377267, 0.04382659180325459, 0.04005503044477387, 0.03780088946491469, 0.014720242365238782, 0.012975095026924297, 0.02759235429204941, 0.04712846449085941, 0.03380680122834783, 0.04931668567562264, 0.02898728277802957, 0.025601615505257774, 0.011683807613954673, 0.011208534411547323, 0.01866313615246542, 0.03338386664335255, 0.019286536871009806, 0.033292699001945425, 0.02632947291101474, 0.009344972837619894, 0.014655578898225958, 0.002190237797246558, 0.006851746999612852, 0.005981815002622835, 0.005489503074856858, 0.009878053935612724, 0.011136081014916402, 0.01201486889370428, 0.024833867705350145, 0.009947024509091604, 0.03337777448980915, 0.0, 0.0026112185686653767, 0.003607350096711799, 0.008018181818181818, 0.010616450216450215, 0.01733299592564298, 0.004037433155080214, 0.027786670117535477, 0.0, 0.0, 0.0, 0.0026969696969696972, 0.0026969696969696972, 0.008152056277056277, 0.010424783549783549, 0.037946912762265216, 0.0, 0.0013333333333333333, 0.0013333333333333333, 0.0013333333333333333, 0.0, 0.0, 0.0009375, 0.026038741558201833, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.022613203280689876]}",0.14373860976705455,0,59,10,{'lens': 0},0.0,24883
