ep,traj,reward,prob_failure,obs,dist_uni,entropy,oracle_calls,cache_calls,traj_len,avg_traj_len,samples
0,25,-0.33600000000000013,-1.0,"{'obs': [0.1671975201007459, 0.07887864823348695, 0.006666666666666666, 0.006666666666666666, 0.0, 0.0, 0.0, 0.0, 0.1364161857710245, 0.06662750307911598, 0.016292882744495647, 0.013118279569892472, 0.0064516129032258064, 0.0064516129032258064, 0.0064516129032258064, 0.0, 0.12953446534091695, 0.05071532361854943, 0.026057486057486055, 0.012072072072072072, 0.0, 0.0, 0.0064516129032258064, 0.0, 0.10864159089965542, 0.04189452124935995, 0.021698288149901053, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03159588159588159, 0.011857018308631211, 0.005405405405405406, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01984126984126984, 0.016666666666666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0031746031746031746, 0.0031746031746031746, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0.333415721637663,0,0,1,{'lens': 0},0.0,901
1,25,-0.2820000000000001,-1.0,"{'obs': [0.19132603277764565, 0.07853023320765257, 0.030303030303030304, 0.018181818181818184, 0.012727272727272726, 0.007272727272727273, 0.005454545454545454, 0.01818181818181818, 0.10742137959879897, 0.04282424105004751, 0.019055532281338734, 0.024437927663734114, 0.010498533724340176, 0.005043988269794721, 0.0032258064516129032, 0.0036363636363636364, 0.09041408581731161, 0.02899402544563835, 0.019695409695409692, 0.020884520884520887, 0.0036363636363636364, 0.0018181818181818182, 0.0032258064516129032, 0.0018181818181818182, 0.0917159003449326, 0.041139568316987674, 0.013879447105253557, 0.0030303030303030303, 0.0, 0.0, 0.0, 0.0, 0.02349024849024849, 0.026120816846623297, 0.010395010395010396, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00992063492063492, 0.020833333333333336, 0.007692307692307693, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0015873015873015873, 0.0015873015873015873, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0.3057821478256215,0,0,2,{'lens': 0},0.0,901
2,25,-0.26400000000000007,-1.0,"{'obs': [0.19936887033661224, 0.07841409486570777, 0.038181818181818185, 0.022020202020202023, 0.016969696969696968, 0.009696969696969697, 0.007272727272727272, 0.024242424242424242, 0.09775644420805712, 0.034889820373691344, 0.019976415460286428, 0.02821114369501466, 0.011847507331378298, 0.004574780058651026, 0.002150537634408602, 0.0048484848484848485, 0.07737395930944317, 0.021753592721334657, 0.017574717574717572, 0.023822003822003824, 0.0048484848484848485, 0.0024242424242424242, 0.002150537634408602, 0.0024242424242424242, 0.08607400349335832, 0.04088791733953024, 0.011273166757037725, 0.00404040404040404, 0.0, 0.0, 0.0, 0.0, 0.02078837078837079, 0.03087541635928733, 0.012058212058212059, 0.0, 0.0, 0.0, 0.0, 0.0, 0.006613756613756613, 0.022222222222222227, 0.010256410256410256, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0010582010582010583, 0.0010582010582010583, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0.3007763851779813,0,0,3,{'lens': 0},0.0,901
3,25,-0.25500000000000006,-1.0,"{'obs': [0.20339028911609555, 0.07835602569473538, 0.04212121212121212, 0.02393939393939394, 0.01909090909090909, 0.01090909090909091, 0.00818181818181818, 0.02727272727272727, 0.0929239765126862, 0.030922610035513262, 0.020436857049760275, 0.030097751710654937, 0.012521994134897359, 0.004340175953079179, 0.0016129032258064516, 0.005454545454545455, 0.07085389605550894, 0.01813337635918281, 0.016514371514371514, 0.025290745290745292, 0.005454545454545455, 0.0027272727272727275, 0.0016129032258064516, 0.0027272727272727275, 0.08325305506757119, 0.04076209185080153, 0.009970026582929808, 0.004545454545454545, 0.0, 0.0, 0.0, 0.0, 0.019437431937431936, 0.03325271611561934, 0.01288981288981289, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00496031746031746, 0.02291666666666667, 0.011538461538461539, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0007936507936507937, 0.0007936507936507937, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0.29913699778161434,0,0,4,{'lens': 0},0.0,901
64,1225,-0.23190000000000005,-0.8400000000000001,"{'obs': [0.16560112018176534, 0.07370069357166131, 0.04349062049062049, 0.023925324675324676, 0.020046536796536795, 0.009441558441558442, 0.006545454545454544, 0.021818181818181816, 0.07974791136887913, 0.030216262631585212, 0.02606972373504631, 0.026798439463762046, 0.015368785784108363, 0.006817378857701438, 0.004635560675883256, 0.007708874458874459, 0.057238672399962706, 0.01572892330956847, 0.023417846417846416, 0.023327834327834328, 0.005030303030303031, 0.002181818181818182, 0.0012903225806451613, 0.005527056277056277, 0.06660244405405695, 0.03260967348064122, 0.01646014825047083, 0.01223160173160173, 0.005748015873015873, 0.006373015873015872, 0.005817460317460317, 0.00517063492063492, 0.015549945549945548, 0.02726883955916214, 0.012145183645183646, 0.004013888888888889, 0.002180555555555556, 0.0028611111111111107, 0.0062281746031746035, 0.013621031746031746, 0.003968253968253968, 0.018333333333333333, 0.009897435897435898, 0.0, 0.0, 0.0005555555555555554, 0.0011805555555555556, 0.012690476190476191, 0.0006349206349206349, 0.0006349206349206349, 0.0, 0.0, 0.0, 0.0, 0.0007142857142857143, 0.010773809523809522, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01005952380952381]}",0.24960423756362562,0,60,5,{'lens': 0},0.0,79659
65,1225,-0.21650000000000003,-0.7333333333333334,"{'obs': [0.14040834089221185, 0.07059713882294527, 0.04440355940355941, 0.02391594516594517, 0.020683621933621932, 0.008463203463203464, 0.005454545454545454, 0.01818181818181818, 0.0709638679396744, 0.029745364362299843, 0.02982496819190367, 0.02459889796583345, 0.017266646883582367, 0.008468847460782943, 0.006650665642601125, 0.009211760461760463, 0.04816185662959855, 0.014125954609825577, 0.028020163020163014, 0.02201922701922702, 0.004747474747474748, 0.0018181818181818184, 0.001075268817204301, 0.007393578643578643, 0.05550203671171413, 0.02717472790053435, 0.02078689602883151, 0.017355699855699857, 0.009580026455026454, 0.01062169312169312, 0.009695767195767195, 0.008617724867724866, 0.012958287958287957, 0.023279588521524005, 0.011648764148764151, 0.006689814814814815, 0.0036342592592592594, 0.004768518518518518, 0.010380291005291005, 0.022701719576719574, 0.0033068783068783067, 0.015277777777777779, 0.008803418803418804, 0.0, 0.0, 0.0009259259259259259, 0.0019675925925925924, 0.021150793650793653, 0.0005291005291005291, 0.0005291005291005291, 0.0, 0.0, 0.0, 0.0, 0.0011904761904761904, 0.017956349206349205, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016765873015873015]}",0.21867334974085886,0,60,6,{'lens': 0},0.0,79659
66,1225,-0.20550000000000002,-0.6571428571428573,"{'obs': [0.12241349854253081, 0.06838031400243381, 0.04505565862708721, 0.023909245516388376, 0.021138682745825605, 0.007764378478664194, 0.0046753246753246745, 0.015584415584415584, 0.06468955120452817, 0.029409008455667438, 0.0325072856610875, 0.02302779689588445, 0.018622261954635226, 0.009648467891555448, 0.008090026333113889, 0.010285250463821893, 0.041678416793624155, 0.012980976967152082, 0.031307532021817734, 0.021084507513078943, 0.004545454545454546, 0.0015584415584415587, 0.0009216589861751152, 0.008726808905380332, 0.047573174324326395, 0.02329262391474373, 0.023877430156231998, 0.021015769944341373, 0.0123171768707483, 0.013656462585034012, 0.012465986394557824, 0.011079931972789114, 0.01110710396424682, 0.020430123494639622, 0.011294178794178796, 0.008601190476190476, 0.004672619047619049, 0.00613095238095238, 0.01334608843537415, 0.029187925170068026, 0.002834467120181406, 0.013095238095238096, 0.008021978021978023, 0.0, 0.0, 0.0011904761904761901, 0.002529761904761905, 0.027193877551020408, 0.00045351473922902497, 0.00045351473922902497, 0.0, 0.0, 0.0, 0.0, 0.001530612244897959, 0.023086734693877547, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.021556122448979594]}",0.1981240643639144,0,60,7,{'lens': 0},0.0,79659
67,1225,-0.19725,-0.6000000000000001,"{'obs': [0.10891736678027002, 0.06671769538705022, 0.045544733044733055, 0.023904220779220782, 0.021479978354978356, 0.007240259740259741, 0.00409090909090909, 0.013636363636363636, 0.059983813653168495, 0.029156741525693135, 0.03451902376297537, 0.021849471093422702, 0.01963897325792487, 0.010533183214634827, 0.009169546850998463, 0.011090367965367966, 0.036815836916643356, 0.01212224373514696, 0.03377305877305877, 0.020383467883467885, 0.0043939393939393945, 0.0013636363636363637, 0.0008064516129032258, 0.009726731601731601, 0.041626527533785596, 0.020381045925400763, 0.02619533075178236, 0.02376082251082251, 0.014370039682539682, 0.01593253968253968, 0.014543650793650793, 0.0129265873015873, 0.009718715968715968, 0.018293024724476335, 0.01102823977823978, 0.010034722222222223, 0.005451388888888889, 0.007152777777777777, 0.015570436507936509, 0.03405257936507936, 0.00248015873015873, 0.011458333333333334, 0.0074358974358974365, 0.0, 0.0, 0.0013888888888888887, 0.002951388888888889, 0.03172619047619048, 0.0003968253968253968, 0.0003968253968253968, 0.0, 0.0, 0.0, 0.0, 0.0017857142857142857, 0.026934523809523808, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.025148809523809525]}",0.18385717634681456,0,60,8,{'lens': 0},0.0,79659
68,1225,-0.19083333333333333,-0.5555555555555557,"{'obs': [0.09842037540962273, 0.0654245475750852, 0.0459251242584576, 0.023900312650312654, 0.0217454304954305, 0.006832611832611833, 0.003636363636363636, 0.012121212121212121, 0.056323795557666534, 0.028960533913490898, 0.036083708953332606, 0.020932995469285787, 0.020429748716039038, 0.011221295132585456, 0.010009173920464243, 0.011716570466570467, 0.033033830345658294, 0.011454340110254087, 0.03569069069069069, 0.019838214838214838, 0.004276094276094277, 0.0012121212121212121, 0.0007168458781362007, 0.010504449254449254, 0.037001357807809415, 0.018116485267022902, 0.02799814232609931, 0.025895863395863396, 0.015966710758377425, 0.017702821869488534, 0.016159611992945324, 0.014362874779541445, 0.008638858638858639, 0.01663083679212711, 0.010821398321398324, 0.011149691358024691, 0.006057098765432099, 0.00794753086419753, 0.017300485008818343, 0.03783619929453262, 0.002204585537918871, 0.010185185185185186, 0.00698005698005698, 0.0, 0.0, 0.0015432098765432098, 0.003279320987654321, 0.03525132275132275, 0.0003527336860670194, 0.0003527336860670194, 0.0, 0.0, 0.0, 0.0, 0.001984126984126984, 0.029927248677248677, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.027943121693121693]}",0.17361449742644722,0,60,9,{'lens': 0},0.0,79659
69,1225,-0.1857,-0.5200000000000001,"{'obs': [0.09002278231310491, 0.06439002932551319, 0.046229437229437245, 0.02389718614718615, 0.02195779220779221, 0.006506493506493507, 0.003272727272727272, 0.010909090909090908, 0.053395781081264956, 0.028803567823729108, 0.0373354571056184, 0.020199814969976256, 0.021062369082530372, 0.011771784666945957, 0.010680875576036867, 0.012217532467532469, 0.030008225088870237, 0.01092001721033979, 0.03722479622479623, 0.019402012402012402, 0.004181818181818182, 0.001090909090909091, 0.0006451612903225806, 0.011126623376623377, 0.033301222027028475, 0.01630483674032061, 0.029440391585552873, 0.027603896103896103, 0.017244047619047617, 0.01911904761904762, 0.01745238095238095, 0.01551190476190476, 0.007774972774972774, 0.015301086446247733, 0.010655925155925158, 0.012041666666666668, 0.006541666666666666, 0.008583333333333333, 0.01868452380952381, 0.04086309523809523, 0.001984126984126984, 0.009166666666666667, 0.006615384615384615, 0.0, 0.0, 0.0016666666666666666, 0.0035416666666666665, 0.03807142857142857, 0.00031746031746031746, 0.00031746031746031746, 0.0, 0.0, 0.0, 0.0, 0.002142857142857143, 0.03232142857142857, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.030178571428571426]}",0.1660615549660969,0,60,10,{'lens': 0},0.0,79659
