ep,traj,reward,prob_failure,obs,dist_uni,entropy,oracle_calls,cache_calls,traj_len,avg_traj_len,samples,lamnda
0,5,-0.2620000000000001,-1.0,"{'obs': [0.1684981684981685, 0.03058608058608059, 0.019230769230769232, 0.03461538461538462, 0.007692307692307693, 0.007692307692307693, 0.015384615384615385, 0.011538461538461539, 0.17142857142857143, 0.06318681318681318, 0.023076923076923078, 0.03461538461538462, 0.0047619047619047615, 0.0047619047619047615, 0.011538461538461539, 0.011538461538461539, 0.07078754578754579, 0.017216117216117217, 0.009523809523809523, 0.02967032967032967, 0.0047619047619047615, 0.0047619047619047615, 0.0038461538461538464, 0.0, 0.09761904761904762, 0.039285714285714285, 0.0047619047619047615, 0.0047619047619047615, 0.0047619047619047615, 0.0047619047619047615, 0.0, 0.0, 0.02857142857142857, 0.02976190476190476, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.025, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0.3141082619800276,0,1,0,"{'lens': [12, 20, 7, 51, 41]}",26.2,131,0.6
1,10,-0.21800000000000005,-0.8,"{'obs': [0.15773448773448775, 0.032784992784992785, 0.0044444444444444444, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08405483405483405, 0.08017316017316019, 0.05183261183261183, 0.0044444444444444444, 0.0, 0.0, 0.0, 0.0, 0.06, 0.05500721500721502, 0.0384992784992785, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016666666666666666, 0.0496969696969697, 0.03405483405483405, 0.005714285714285714, 0.005714285714285714, 0.0, 0.0, 0.0, 0.03484848484848485, 0.03636363636363636, 0.02834054834054834, 0.015873015873015872, 0.02158730158730159, 0.0, 0.0, 0.0, 0.051515151515151514, 0.01818181818181818, 0.01818181818181818, 0.011428571428571429, 0.015873015873015872, 0.0044444444444444444, 0.0, 0.0, 0.016666666666666666, 0.016666666666666666, 0.0, 0.005714285714285714, 0.0, 0.0044444444444444444, 0.0, 0.0, 0.0, 0.0, 0.0, 0.005714285714285714, 0.0, 0.0044444444444444444, 0.0044444444444444444, 0.0044444444444444444]}",0.2808594696191535,0,2,0,"{'lens': [34, 10, 44, 11, 10]}",21.8,240,0.60003
2,15,-0.2920000000000001,-1.0,"{'obs': [0.11390235335440815, 0.06643835616438357, 0.01821917808219178, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12627678257815242, 0.05805760449596066, 0.010958904109589041, 0.005479452054794521, 0.0, 0.0, 0.0, 0.0, 0.09241657885493501, 0.054791008078679315, 0.027098700386371622, 0.016666666666666666, 0.0, 0.0, 0.0, 0.0, 0.10754478398314013, 0.08624868282402529, 0.025384615384615384, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03591148577449947, 0.038124341412012645, 0.007692307692307693, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03273972602739726, 0.027692307692307693, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.012739726027397261, 0.0027397260273972603, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.021917808219178082, 0.010958904109589041, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0.3082913837639191,0,3,0,"{'lens': [25, 19, 19, 11, 72]}",29.2,386,0.6000599999999999
3,20,-0.14,-1.0,"{'obs': [0.04857142857142857, 0.08613756613756614, 0.037037037037037035, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02761904761904762, 0.10634920634920635, 0.10835978835978835, 0.02222222222222222, 0.0, 0.0, 0.0, 0.0, 0.014285714285714285, 0.09058201058201058, 0.13354497354497355, 0.042222222222222223, 0.0, 0.0, 0.0, 0.0, 0.04095238095238095, 0.04, 0.042222222222222223, 0.007407407407407407, 0.0, 0.0, 0.0, 0.0, 0.05428571428571429, 0.04095238095238095, 0.014814814814814814, 0.007407407407407407, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02761904761904762, 0.007407407407407407, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0.27248464016849877,0,4,0,"{'lens': [13, 8, 14, 26, 9]}",14.0,456,0.6000899999999999
4,25,-0.35400000000000015,-1.0,"{'obs': [0.037392446633825946, 0.008, 0.011448275862068966, 0.006896551724137931, 0.0, 0.0, 0.0, 0.0, 0.16306399315432824, 0.055506556580864494, 0.04579310344827586, 0.0034482758620689655, 0.0, 0.0, 0.0, 0.0, 0.18704262355743656, 0.06829797173847683, 0.045161728994657604, 0.008, 0.0, 0.0, 0.0, 0.0, 0.09395221906149541, 0.07316080390388306, 0.017713453132588635, 0.0, 0.0, 0.0, 0.0, 0.0, 0.022535211267605635, 0.052179745137491615, 0.0034482758620689655, 0.0034482758620689655, 0.0, 0.0, 0.0, 0.0, 0.014084507042253521, 0.03809523809523809, 0.0, 0.0034482758620689655, 0.0034482758620689655, 0.0, 0.0, 0.0, 0.008450704225352112, 0.0028169014084507044, 0.0, 0.0, 0.0034482758620689655, 0.0, 0.0, 0.0, 0.008450704225352112, 0.011267605633802818, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0.340251604960156,0,5,0,"{'lens': [6, 70, 57, 24, 20]}",35.4,633,0.6001199999999999
5,30,-0.09,-1.0,"{'obs': [0.04895104895104895, 0.03538461538461539, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11272727272727275, 0.09174825174825177, 0.038181818181818185, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09174825174825176, 0.11356643356643356, 0.05818181818181818, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03636363636363636, 0.08895104895104895, 0.03636363636363636, 0.0, 0.0, 0.0, 0.0, 0.01818181818181818, 0.05356643356643357, 0.06615384615384616, 0.01818181818181818, 0.0, 0.0, 0.0, 0.0, 0.01818181818181818, 0.038181818181818185, 0.015384615384615385, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0.28714066731236104,0,6,0,"{'lens': [9, 12, 4, 10, 10]}",9.0,678,0.6001499999999999
6,35,-0.20800000000000005,-1.0,"{'obs': [0.09728997289972899, 0.07247064137308039, 0.06759259259259258, 0.008333333333333333, 0.016666666666666666, 0.008333333333333333, 0.008333333333333333, 0.016666666666666666, 0.05444896115627823, 0.05444896115627823, 0.045370370370370366, 0.008333333333333333, 0.0, 0.0, 0.0, 0.008333333333333333, 0.05365853658536586, 0.051919602529358636, 0.062037037037037036, 0.02222222222222222, 0.0, 0.0, 0.0, 0.008333333333333333, 0.04390243902439024, 0.014634146341463414, 0.059507678410117434, 0.02222222222222222, 0.0, 0.0, 0.0, 0.008333333333333333, 0.007407407407407407, 0.007407407407407407, 0.03728545618789521, 0.0, 0.0, 0.0, 0.0, 0.008333333333333333, 0.014814814814814814, 0.0, 0.029878048780487804, 0.0, 0.0, 0.0, 0.0, 0.03333333333333333, 0.007407407407407407, 0.007407407407407407, 0.0, 0.0, 0.0, 0.0, 0.008333333333333333, 0.025, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0.22391288663135325,0,7,0,"{'lens': [40, 23, 26, 8, 7]}",20.8,782,0.6001799999999998
7,40,-0.23600000000000007,-1.0,"{'obs': [0.04775641025641025, 0.0125, 0.0125, 0.0375, 0.0, 0.0, 0.0, 0.0, 0.07566391941391941, 0.025, 0.025, 0.025, 0.0, 0.0, 0.0, 0.0, 0.08367673992673992, 0.01875, 0.00625, 0.0125, 0.0, 0.0, 0.0, 0.0, 0.053777472527472524, 0.0125, 0.00625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12119963369963369, 0.013392857142857142, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08592032967032967, 0.025, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0820970695970696, 0.01852106227106227, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.17158882783882784, 0.027655677655677658, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0.32463189778179796,0,8,0,"{'lens': [27, 15, 7, 31, 38]}",23.6,900,0.6002099999999998
8,45,-0.15200000000000002,-1.0,"{'obs': [0.03888888888888888, 0.07538126361655773, 0.023529411764705882, 0.011764705882352941, 0.0, 0.0, 0.0, 0.0, 0.05416666666666666, 0.05315904139433551, 0.0457516339869281, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10231481481481482, 0.007407407407407407, 0.046486928104575165, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09490740740740741, 0.041666666666666664, 0.08251633986928104, 0.0, 0.0, 0.0, 0.0, 0.0, 0.024074074074074074, 0.0125, 0.05751633986928104, 0.0, 0.0, 0.0, 0.0, 0.0, 0.024074074074074074, 0.029166666666666664, 0.03398692810457517, 0.0, 0.0, 0.0, 0.0, 0.0, 0.014814814814814814, 0.007407407407407407, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11111111111111112, 0.007407407407407407, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0.284636567552912,0,9,0,"{'lens': [8, 26, 15, 16, 11]}",15.2,976,0.6002399999999998
9,50,-0.10800000000000001,-1.0,"{'obs': [0.0, 0.04038461538461539, 0.052884615384615384, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08333333333333333, 0.05, 0.06538461538461539, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11121794871794873, 0.04038461538461539, 0.04038461538461539, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12371794871794872, 0.05833333333333333, 0.0125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06826923076923078, 0.04583333333333333, 0.025, 0.0125, 0.0, 0.0, 0.0, 0.0, 0.05576923076923077, 0.07083333333333333, 0.0125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015384615384615385, 0.015384615384615385, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0.2917783532605592,0,10,0,"{'lens': [15, 5, 12, 7, 15]}",10.8,1030,0.6002699999999997
